   Time             I(C0)             I(L0)             I(R0)             V0              
 8.272000000E-003 -8.664608061E+000  1.199211209E+001  8.664570370E+000  1.769016454E+002 
 8.273000000E-003 -8.647913809E+000  1.237954805E+001  8.647876153E+000  1.765608051E+002 
 8.274000000E-003 -8.631251722E+000  1.276698401E+001  8.631214100E+000  1.762206215E+002 
 8.275000000E-003 -8.614621739E+000  1.315441996E+001  8.614584151E+000  1.758810934E+002 
 8.276000000E-003 -8.598023797E+000  1.354185590E+001  8.597986243E+000  1.755422194E+002 
 8.277000000E-003 -8.581457835E+000  1.392929183E+001  8.581420314E+000  1.752039984E+002 
 8.278000000E-003 -8.564923790E+000  1.431672775E+001  8.564886303E+000  1.748664290E+002 
 8.279000000E-003 -8.548421602E+000  1.470416367E+001  8.548384149E+000  1.745295100E+002 
 8.280000000E-003 -8.531951209E+000  1.509159957E+001  8.531913789E+000  1.741932402E+002 
 8.281000000E-003 -8.515512549E+000  1.547903547E+001  8.515475164E+000  1.738576182E+002 
 8.282000000E-003 -8.499105563E+000  1.586647136E+001  8.499068211E+000  1.735226429E+002 
 8.283000000E-003 -8.482730188E+000  1.625390724E+001  8.482692869E+000  1.731883130E+002 
 8.284000000E-003 -8.466386363E+000  1.664134312E+001  8.466349078E+000  1.728546273E+002 
 8.285000000E-003 -8.450074029E+000  1.702877898E+001  8.450036777E+000  1.725215845E+002 
 8.286000000E-003 -8.433793124E+000  1.741621484E+001  8.433755905E+000  1.721891833E+002 
 8.287000000E-003 -8.417543588E+000  1.780365069E+001  8.417506402E+000  1.718574227E+002 
 8.288000000E-003 -8.401325359E+000  1.819108653E+001  8.401288207E+000  1.715263012E+002 
 8.289000000E-003 -8.385138379E+000  1.857852236E+001  8.385101260E+000  1.711958177E+002 
 8.290000000E-003 -8.368982587E+000  1.896595819E+001  8.368945500E+000  1.708659709E+002 
 8.291000000E-003 -8.352857922E+000  1.935339400E+001  8.352820868E+000  1.705367597E+002 
