   Time             I(L1)             V0              
 9.539000000E-003  3.274581453E+001  4.967522903E+001 
 9.540000000E-003  3.278253926E+001  4.989684526E+001 
 9.541000000E-003  3.253479721E+001  5.009027043E+001 
 9.542000000E-003  3.228639364E+001  5.026412119E+001 
 9.543000000E-003  3.203719229E+001  5.041258204E+001 
 9.544000000E-003  3.178731627E+001  5.053669381E+001 
 9.545000000E-003  3.153688362E+001  5.063746122E+001 
 9.546000000E-003  3.128600752E+001  5.071585399E+001 
 9.547000000E-003  3.103479642E+001  5.077280803E+001 
 9.548000000E-003  3.078335421E+001  5.080922660E+001 
 9.549000000E-003  3.053178040E+001  5.082598133E+001 
 9.550000000E-003  3.028017024E+001  5.082391332E+001 
 9.551000000E-003  3.002861492E+001  5.080383415E+001 
 9.552000000E-003  2.977720165E+001  5.076652684E+001 
 9.553000000E-003  2.952601387E+001  5.071274682E+001 
 9.554000000E-003  2.927513130E+001  5.064322284E+001 
 9.555000000E-003  2.902463015E+001  5.055865787E+001 
 9.556000000E-003  2.877458320E+001  5.045972996E+001 
 9.557000000E-003  2.852505995E+001  5.034709305E+001 
 9.558000000E-003  2.827612668E+001  5.022137781E+001 
 9.559000000E-003  2.802784665E+001  5.008319238E+001 
 9.560000000E-003  2.778028013E+001  4.993312317E+001 
 9.561000000E-003  2.753348456E+001  4.977173554E+001 
 9.562000000E-003  2.728751461E+001  4.959957454E+001 
 9.563000000E-003  2.704242232E+001  4.941716556E+001 
 9.564000000E-003  2.706843504E+001  4.922963381E+001 
 9.565000000E-003  2.756784769E+001  4.908483638E+001 
 9.566000000E-003  2.806770669E+001  4.897156960E+001 
 9.567000000E-003  2.856802526E+001  4.889916165E+001 
 9.568000000E-003  2.906860542E+001  4.886587821E+001 
 9.569000000E-003  2.956925762E+001  4.887004577E+001 
 9.570000000E-003  3.006980046E+001  4.891004955E+001 
 9.571000000E-003  3.057006039E+001  4.898433157E+001 
 9.572000000E-003  3.106987144E+001  4.909138876E+001 
 9.573000000E-003  3.156907494E+001  4.922977113E+001 
 9.574000000E-003  3.206751928E+001  4.939807998E+001 
 9.575000000E-003  3.256505964E+001  4.959496622E+001 
 9.576000000E-003  3.287245642E+001  4.982059828E+001 
 9.577000000E-003  3.262505581E+001  5.002369084E+001 
 9.578000000E-003  3.237695865E+001  5.020691466E+001 
 9.579000000E-003  3.212801824E+001  5.036436516E+001 
 9.580000000E-003  3.187835957E+001  5.049709652E+001 
 9.581000000E-003  3.162810250E+001  5.060612630E+001 
 9.582000000E-003  3.137736192E+001  5.069243668E+001 
 9.583000000E-003  3.112624797E+001  5.075697561E+001 
 9.584000000E-003  3.087486615E+001  5.080065796E+001 
 9.585000000E-003  3.062331754E+001  5.082436662E+001 
 9.586000000E-003  3.037169890E+001  5.082895356E+001 
 9.587000000E-003  3.012010286E+001  5.081524086E+001 
 9.588000000E-003  2.986861805E+001  5.078402171E+001 
 9.589000000E-003  2.961732925E+001  5.073606136E+001 
 9.590000000E-003  2.936631749E+001  5.067209805E+001 
 9.591000000E-003  2.911566025E+001  5.059284393E+001 
 9.592000000E-003  2.886543151E+001  5.049898591E+001 
 9.593000000E-003  2.861570194E+001  5.039118652E+001 
 9.594000000E-003  2.836653896E+001  5.027008470E+001 
 9.595000000E-003  2.811800692E+001  5.013629663E+001 
 9.596000000E-003  2.787016713E+001  4.999041642E+001 
 9.597000000E-003  2.762307805E+001  4.983301694E+001 
 9.598000000E-003  2.737679534E+001  4.966465047E+001 
 9.599000000E-003  2.713137196E+001  4.948584938E+001 
 9.600000000E-003  2.688685831E+001  4.929712686E+001 
 9.601000000E-003  2.738599576E+001  4.913651505E+001 
 9.602000000E-003  2.788577030E+001  4.901830705E+001 
 9.603000000E-003  2.838589491E+001  4.893078910E+001 
 9.604000000E-003  2.888635432E+001  4.888303531E+001 
 9.605000000E-003  2.938695589E+001  4.887334975E+001 
 9.606000000E-003  2.988751520E+001  4.890009598E+001 
 9.607000000E-003  3.038785581E+001  4.896169510E+001 
 9.608000000E-003  3.088780895E+001  4.905662380E+001 
 9.609000000E-003  3.138721326E+001  4.918341252E+001 
 9.610000000E-003  3.188591452E+001  4.934064366E+001 
 9.611000000E-003  3.238376542E+001  4.952694984E+001 
 9.612000000E-003  3.288062529E+001  4.974101224E+001 
 9.613000000E-003  3.271453436E+001  4.995491458E+001 
 9.614000000E-003  3.246653215E+001  5.014101095E+001 
 9.615000000E-003  3.221789498E+001  5.030775598E+001 
 9.616000000E-003  3.196849449E+001  5.044940165E+001 
 9.617000000E-003  3.171845237E+001  5.056697872E+001 
 9.618000000E-003  3.146788531E+001  5.066148213E+001 
 9.619000000E-003  3.121690515E+001  5.073387218E+001 
 9.620000000E-003  3.096561909E+001  5.078507568E+001 
 9.621000000E-003  3.071412979E+001  5.081598705E+001 
 9.622000000E-003  3.046253556E+001  5.082746941E+001 
 9.623000000E-003  3.021093053E+001  5.082035562E+001 
 9.624000000E-003  2.995940477E+001  5.079544929E+001 
 9.625000000E-003  2.970804444E+001  5.075352575E+001 
 9.626000000E-003  2.945693194E+001  5.069533299E+001 
 9.627000000E-003  2.920614602E+001  5.062159256E+001 
 9.628000000E-003  2.895576193E+001  5.053300047E+001 
 9.629000000E-003  2.870585152E+001  5.043022806E+001 
 9.630000000E-003  2.845648339E+001  5.031392277E+001 
 9.631000000E-003  2.820772300E+001  5.018470898E+001 
 9.632000000E-003  2.795963275E+001  5.004318878E+001 
 9.633000000E-003  2.771227214E+001  4.988994269E+001 
 9.634000000E-003  2.746569782E+001  4.972553041E+001 
 9.635000000E-003  2.721996374E+001  4.955049151E+001 
 9.636000000E-003  2.697512122E+001  4.936534609E+001 
 9.637000000E-003  2.720400307E+001  4.918843463E+001 
 9.638000000E-003  2.770357714E+001  4.905505036E+001 
 9.639000000E-003  2.820355623E+001  4.895283624E+001 
 9.640000000E-003  2.870394134E+001  4.889101151E+001 
 9.641000000E-003  2.920453676E+001  4.886785830E+001 
 9.642000000E-003  2.970515516E+001  4.888171899E+001 
 9.643000000E-003  3.020561726E+001  4.893099420E+001 
 9.644000000E-003  3.070575156E+001  4.901414079E+001 
 9.645000000E-003  3.120539406E+001  4.912967008E+001 
 9.646000000E-003  3.170438801E+001  4.927614595E+001 
 9.647000000E-003  3.220258363E+001  4.945218314E+001 
 9.648000000E-003  3.269983789E+001  4.965644554E+001 
 9.649000000E-003  3.280419512E+001  4.987959541E+001 
 9.650000000E-003  3.255652997E+001  5.007530115E+001 
 9.651000000E-003  3.230819504E+001  5.025136285E+001 
 9.652000000E-003  3.205905160E+001  5.040194394E+001 
 9.653000000E-003  3.180922320E+001  5.052808841E+001 
 9.654000000E-003  3.155882834E+001  5.063080401E+001 
 9.655000000E-003  3.130798057E+001  5.071106342E+001 
 9.656000000E-003  3.105678876E+001  5.076980541E+001 
 9.657000000E-003  3.080535718E+001  5.080793596E+001 
 9.658000000E-003  3.055378569E+001  5.082632940E+001 
 9.659000000E-003  3.030216993E+001  5.082582938E+001 
 9.660000000E-003  3.005060141E+001  5.080724997E+001 
 9.661000000E-003  2.979916768E+001  5.077137659E+001 
 9.662000000E-003  2.954795249E+001  5.071896701E+001 
 9.663000000E-003  2.929703589E+001  5.065075222E+001 
 9.664000000E-003  2.904649437E+001  5.056743736E+001 
 9.665000000E-003  2.879640101E+001  5.046970258E+001 
 9.666000000E-003  2.854682557E+001  5.035820386E+001 
 9.667000000E-003  2.829783461E+001  5.023357381E+001 
 9.668000000E-003  2.804949164E+001  5.009642249E+001 
 9.669000000E-003  2.780185719E+001  4.994733813E+001 
 9.670000000E-003  2.755498892E+001  4.978688786E+001 
 9.671000000E-003  2.730894176E+001  4.961561844E+001 
 9.672000000E-003  2.706376795E+001  4.943405693E+001 
 9.673000000E-003  2.702212762E+001  4.924323093E+001 
 9.674000000E-003  2.752148740E+001  4.909455538E+001 
 9.675000000E-003  2.802130759E+001  4.897753309E+001 
 9.676000000E-003  2.852160554E+001  4.890152927E+001 
 9.677000000E-003  2.902218250E+001  4.886480403E+001 
 9.678000000E-003  2.952284818E+001  4.886567843E+001 
 9.679000000E-003  3.002342044E+001  4.890253247E+001 
 9.680000000E-003  3.052372504E+001  4.897380310E+001 
 9.681000000E-003  3.102359533E+001  4.907798238E+001 
 9.682000000E-003  3.152287201E+001  4.921361558E+001 
 9.683000000E-003  3.202140282E+001  4.937929945E+001 
 9.684000000E-003  3.251904237E+001  4.957368047E+001 
 9.685000000E-003  3.289416066E+001  4.979922390E+001 
 9.686000000E-003  3.264685669E+001  5.000477731E+001 
 9.687000000E-003  3.239884725E+001  5.019038758E+001 
 9.688000000E-003  3.214998299E+001  5.035012761E+001 
 9.689000000E-003  3.190038937E+001  5.048505495E+001 
 9.690000000E-003  3.165018669E+001  5.059619040E+001 
 9.691000000E-003  3.139949031E+001  5.068451927E+001 
 9.692000000E-003  3.114841076E+001  5.075099257E+001 
 9.693000000E-003  3.089705398E+001  5.079652809E+001 
 9.694000000E-003  3.064552141E+001  5.082201156E+001 
 9.695000000E-003  3.039391023E+001  5.082829770E+001 
 9.696000000E-003  3.014231341E+001  5.081621124E+001 
 9.697000000E-003  2.989081994E+001  5.078654792E+001 
 9.698000000E-003  2.963951495E+001  5.074007548E+001 
 9.699000000E-003  2.938847980E+001  5.067753456E+001 
 9.700000000E-003  2.913779228E+001  5.059963962E+001 
 9.701000000E-003  2.888752668E+001  5.050707981E+001 
 9.702000000E-003  2.863775397E+001  5.040051982E+001 
 9.703000000E-003  2.838854187E+001  5.028060069E+001 
 9.704000000E-003  2.813995497E+001  5.014794061E+001 
 9.705000000E-003  2.789205488E+001  5.000313566E+001 
 9.706000000E-003  2.764490029E+001  4.984676060E+001 
 9.707000000E-003  2.739854712E+001  4.967936950E+001 
 9.708000000E-003  2.715304858E+001  4.950149655E+001 
 9.709000000E-003  2.690845528E+001  4.931365660E+001 
 9.710000000E-003  2.734005693E+001  4.914874337E+001 
 9.711000000E-003  2.783978507E+001  4.902674217E+001 
 9.712000000E-003  2.833987702E+001  4.893555122E+001 
 9.713000000E-003  2.884032156E+001  4.888428095E+001 
 9.714000000E-003  2.934092529E+001  4.887122995E+001 
 9.715000000E-003  2.984150307E+001  4.889475648E+001 
 9.716000000E-003  3.034187773E+001  4.895327649E+001 
 9.717000000E-003  3.084187984E+001  4.904526172E+001 
 9.718000000E-003  3.134134736E+001  4.916923781E+001 
 9.719000000E-003  3.184012545E+001  4.932378252E+001 
 9.720000000E-003  3.233806617E+001  4.950752401E+001 
 9.721000000E-003  3.283502826E+001  4.971913912E+001 
 9.722000000E-003  3.273652091E+001  4.993597284E+001 
 9.723000000E-003  3.248860362E+001  5.012444585E+001 
 9.724000000E-003  3.224004275E+001  5.029349522E+001 
 9.725000000E-003  3.199070739E+001  5.043735103E+001 
 9.726000000E-003  3.174071967E+001  5.055704733E+001 
 9.727000000E-003  3.149019675E+001  5.065358222E+001 
 9.728000000E-003  3.123925089E+001  5.072791905E+001 
 9.729000000E-003  3.098798968E+001  5.078098759E+001 
 9.730000000E-003  3.073651619E+001  5.081368511E+001 
 9.731000000E-003  3.048492912E+001  5.082687750E+001 
 9.732000000E-003  3.023332297E+001  5.082140029E+001 
 9.733000000E-003  2.998178816E+001  5.079805966E+001 
 9.734000000E-003  2.973041120E+001  5.075763345E+001 
 9.735000000E-003  2.947927482E+001  5.070087205E+001 
 9.736000000E-003  2.922845810E+001  5.062849936E+001 
 9.737000000E-003  2.897803657E+001  5.054121363E+001 
 9.738000000E-003  2.872808242E+001  5.043968837E+001 
 9.739000000E-003  2.847866451E+001  5.032457314E+001 
 9.740000000E-003  2.822984859E+001  5.019649436E+001 
 9.741000000E-003  2.798169732E+001  5.005605607E+001 
 9.742000000E-003  2.773427045E+001  4.990384071E+001 
 9.743000000E-003  2.748762490E+001  4.974040981E+001 
 9.744000000E-003  2.724181485E+001  4.956630471E+001 
 9.745000000E-003  2.699689184E+001  4.938204723E+001 
 9.746000000E-003  2.715816980E+001  4.920142149E+001 
 9.747000000E-003  2.765769381E+001  4.906421900E+001 
 9.748000000E-003  2.815763667E+001  4.895830749E+001 
 9.749000000E-003  2.865800345E+001  4.889294268E+001 
 9.750000000E-003  2.915859771E+001  4.886640120E+001 
 9.751000000E-003  2.965923135E+001  4.887702011E+001 
 9.752000000E-003  3.015972438E+001  4.892319484E+001 
 9.753000000E-003  3.065990463E+001  4.900337731E+001 
 9.754000000E-003  3.115960743E+001  4.911607398E+001 
 9.755000000E-003  3.165867538E+001  4.925984411E+001 
 9.756000000E-003  3.215695810E+001  4.943329792E+001 
 9.757000000E-003  3.265431196E+001  4.963509495E+001 
 9.758000000E-003  3.282633394E+001  4.985949684E+001 
 9.759000000E-003  3.257875921E+001  5.005763965E+001 
 9.760000000E-003  3.233050586E+001  5.023606446E+001 
 9.761000000E-003  3.208143254E+001  5.038891230E+001 
 9.762000000E-003  3.183166328E+001  5.051723053E+001 
 9.763000000E-003  3.158131700E+001  5.062203011E+001 
 9.764000000E-003  3.133050773E+001  5.070428686E+001 
 9.765000000E-003  3.107934473E+001  5.076494255E+001 
 9.766000000E-003  3.082793268E+001  5.080490611E+001 
 9.767000000E-003  3.057637185E+001  5.082505466E+001 
 9.768000000E-003  3.032475824E+001  5.082623461E+001 
 9.769000000E-003  3.007318373E+001  5.080926265E+001 
 9.770000000E-003  2.982173624E+001  5.077492677E+001 
 9.771000000E-003  2.957049983E+001  5.072398718E+001 
 9.772000000E-003  2.931955490E+001  5.065717728E+001 
 9.773000000E-003  2.906897825E+001  5.057520450E+001 
 9.774000000E-003  2.881884326E+001  5.047875122E+001 
 9.775000000E-003  2.856921999E+001  5.036847557E+001 
 9.776000000E-003  2.832017530E+001  5.024501226E+001 
 9.777000000E-003  2.807177295E+001  5.010897333E+001 
 9.778000000E-003  2.782407374E+001  4.996094898E+001 
 9.779000000E-003  2.757713559E+001  4.980150821E+001 
 9.780000000E-003  2.733101367E+001  4.963119959E+001 
 9.781000000E-003  2.708576046E+001  4.945055194E+001 
 9.782000000E-003  2.697645314E+001  4.925665210E+001 
 9.783000000E-003  2.747576075E+001  4.910415102E+001 
 9.784000000E-003  2.797554260E+001  4.898342413E+001 
 9.785000000E-003  2.847582017E+001  4.890387319E+001 
 9.786000000E-003  2.897639393E+001  4.886375281E+001 
 9.787000000E-003  2.947707285E+001  4.886137869E+001 
 9.788000000E-003  2.997767409E+001  4.889512567E+001 
 9.789000000E-003  3.047802272E+001  4.896342574E+001 
 9.790000000E-003  3.097795142E+001  4.906476611E+001 
 9.791000000E-003  3.147730023E+001  4.919768740E+001 
 9.792000000E-003  3.197591631E+001  4.936078185E+001 
 9.793000000E-003  3.247365364E+001  4.955269160E+001 
 9.794000000E-003  3.291650978E+001  4.977773375E+001 
 9.795000000E-003  3.266930284E+001  4.998579886E+001 
 9.796000000E-003  3.242138132E+001  5.017384481E+001 
 9.797000000E-003  3.217259317E+001  5.033592149E+001 
 9.798000000E-003  3.192306433E+001  5.047308987E+001 
 9.799000000E-003  3.167291557E+001  5.058637409E+001 
 9.800000000E-003  3.142226268E+001  5.067676267E+001 
 9.801000000E-003  3.117121664E+001  5.074520971E+001 
 9.802000000E-003  3.091988380E+001  5.079263600E+001 
 9.803000000E-003  3.066836603E+001  5.081993019E+001 
 9.804000000E-003  3.041676085E+001  5.082794978E+001 
 9.805000000E-003  3.016516165E+001  5.081752222E+001 
 9.806000000E-003  2.991365777E+001  5.078944588E+001 
 9.807000000E-003  2.966233466E+001  5.074449102E+001 
